시구,자치구,동,단지명,단지번호,세대수,동수,준공년월,평형구간,최저매매가_만원,중위매매가_만원,최고매매가_만원,매매건수,전세건수,최소면적_㎡,최대면적_㎡,위도,경도,강남까지_km,회사1_합정_km,회사2_남양_km
양천구,,신월동,신안약수,3777,440,5,198512,"24,33",69000,70000,70000,17,0,82.53,82.53,37.516487,126.847507,16.02,6.9,33.5
양천구,,신월동,호반써밋목동,130826,407,7,202212,"24,33",147000,147000,155000,14,0,76.56,76.56,37.51643,126.852912,15.55,6.51,33.56
양천구,,신월동,신정뉴타운롯데캐슬,107728,930,11,201402,"24,33",112000,115000,115000,6,0,79.99,80.34,37.519036,126.847468,16.06,6.75,33.78
양천구,,신월동,래미안목동아델리체,121979,1497,23,202101,"24,33",165000,172500,180000,8,0,83.23,83.66,37.518668,126.851952,15.66,6.44,33.8
양천구,,신월동,신정이펜하우스1단지,102874,466,12,201107,33,85000,85000,85000,1,0,107.79,107.79,37.514855,126.827274,17.77,8.54,33.13
양천구,,신월동,신정이펜하우스2단지,102875,471,20,201104,33,78000,83000,90000,10,0,111.69,112.73,37.515968,126.83048,17.5,8.23,33.28
양천구,,신월동,신정뉴타운두산위브,104360,357,6,201211,33,118000,118000,118000,6,0,110.4,110.4,37.519379,126.845653,16.23,6.87,33.8
양천구,,신월동,화곡대림,42,416,5,199208,33,68000,70000,70000,9,0,101.31,101.31,37.533749,126.837229,17.26,6.96,35.31
양천구,,신월동,푸른마을4단지,9897,390,6,200208,33,85000,89000,103000,14,0,110.08,110.32,37.513297,126.839209,16.71,7.71,33.06
양천구,,신정동,현대2차,711,390,2,198710,18,82000,82000,82000,1,0,59.49,59.49,37.520529,126.882797,13.02,4.23,34.49
양천구,,신정동,신트리1단지,672,997,9,199905,"21,24",84000,90000,91000,23,0,69.43,69.64,37.514022,126.854411,15.38,6.56,33.32
양천구,,신정동,학마을1단지,3784,639,6,200010,"21,24",65000,65000,72000,10,0,69.17,69.17,37.508104,126.844413,16.2,7.66,32.54
양천구,,신정동,서울가든,118,715,5,198907,"21,24,33",59000,59000,59000,1,0,74.97,74.97,37.50274,126.860827,14.72,6.99,32.17
양천구,,신정동,신트리4단지,3444,845,8,200005,"21,24",65000,70000,74000,33,0,66.66,67.41,37.511138,126.850655,15.68,7.01,32.95
양천구,,신정동,고척LIG리가,10312,421,8,200907,"24,33",95000,95000,95000,1,0,82.98,82.98,37.505867,126.861797,14.65,6.68,32.53
양천구,,신정동,목동삼성래미안2차,3440,353,6,200111,"24,33",145000,145000,145000,2,0,82.63,82.63,37.510109,126.868157,14.13,5.95,33.09
양천구,,신정동,한일유앤아이,14020,390,7,200512,"24,33",65000,65000,65000,4,0,78.7,78.7,37.508384,126.851003,15.62,7.18,32.65
양천구,,신정동,목동힐스테이트,108438,1081,15,201605,"24,33",180000,190000,195000,10,0,77.18,77.18,37.520319,126.856168,15.33,6.03,34.03
양천구,,신정동,벽산베스트블루밍,100495,339,6,201012,"24,33",84000,86000,87000,7,0,80.1,80.1,37.504706,126.859134,14.88,6.94,32.36
양천구,,신정동,"신도림대림1,2차(e편한세상)",3354,2298,27,199911,"24,33",125000,132000,146000,70,0,78.42,82.54,37.505825,126.880348,13.02,5.69,32.85
양천구,,신정동,세양청마루,12021,326,7,200607,"24,33",107000,110000,117000,11,0,77.34,77.34,37.507173,126.863678,14.5,6.46,32.7
양천구,,신정동,고척대우,1068,987,13,199902,"24,33",59800,66500,73000,9,0,84.66,84.66,37.502964,126.856017,15.15,7.27,32.12
양천구,,신정동,신도림동아1차,1074,1095,11,199911,"24,33",140000,143500,145000,6,0,80.68,80.68,37.511167,126.882755,12.86,5.08,33.48
양천구,,신정동,목동파크자이,115706,356,8,201902,33,189000,210000,240000,25,0,109.16,109.58,37.509412,126.86874,14.07,5.98,33.03
양천구,,신정동,센츄리,121,391,5,199403,33,60000,67000,70000,35,0,101.11,101.32,37.504238,126.862059,14.62,6.8,32.35
양천구,,신정동,신정현대5차,441,361,5,199911,33,130000,130000,130000,2,0,101.12,101.12,37.512411,126.854594,15.35,6.65,33.14
양천구,,신정동,신도림5차e-편한세상,8714,362,6,200308,33,150000,160000,165000,7,0,107.67,107.67,37.506805,126.880796,12.99,5.58,32.96
양천구,,신정동,청구,910,448,4,199906,33,75000,75000,80000,13,0,107.81,107.81,37.501858,126.863758,14.46,6.9,32.12
양천구,,신정동,목동현대,675,972,6,199707,33,180000,190000,255000,16,0,107.49,107.49,37.520948,126.877598,13.48,4.51,34.44
양천구,,신정동,신트리3단지,3443,537,8,200010,33,110000,123000,139000,70,0,109.87,110.82,37.511963,126.853052,15.48,6.79,33.07
양천구,,신정동,목동삼성,670,420,4,199609,33,145000,150000,150000,13,0,107.82,107.82,37.515964,126.876541,13.48,4.97,33.88
양천구,,신정동,목동우성2차,8742,1140,12,200003,33,125000,135000,140000,78,0,106.16,106.16,37.507451,126.865426,14.35,6.33,32.76
양천구,,신정동,신도림7차e-편한세상,8919,411,6,200406,33,160000,165000,170000,11,0,107.87,107.87,37.508337,126.882684,12.84,5.35,33.17
양천구,,신정동,고척파크푸르지오,25853,662,11,200905,33,130000,140000,140000,3,0,107.5,107.5,37.507589,126.858174,14.98,6.77,32.66
영등포구,,당산동,대우,10169,536,2,199901,18,55000,60500,70000,10,0,61.79,61.79,37.521317,126.892819,12.17,3.65,34.78
영등포구,,당산동,당산센트럴아이파크,121987,802,7,202004,"18,24,33",170000,170000,170000,2,0,65.44,65.44,37.529925,126.903313,11.53,2.38,35.94
영등포구,,당산동,당산현대5차,1210,976,13,200003,"21,33",168000,172500,175000,10,0,74.58,74.98,37.52972,126.90066,11.74,2.5,35.86
영등포구,,당산동,양평현대6차,3801,770,9,200012,"21,33",135000,138000,142000,19,0,72.64,72.64,37.531968,126.893816,12.39,2.63,35.95
영등포구,,당산동,영등포중흥S-클래스,121758,308,2,202103,24,90000,150000,150000,4,0,77.64,83.86,37.523659,126.886616,12.76,3.75,34.91
영등포구,,당산동,한양,687,338,3,198602,24,148000,150000,150000,4,0,88.89,88.89,37.525577,126.900325,11.64,2.93,35.4
영등포구,,당산동,진로,684,461,4,199708,"24,33",130000,132500,135000,2,0,82.8,82.8,37.520755,126.8963,11.86,3.56,34.8
영등포구,,당산동,거성파스텔,1216,532,7,199905,"24,33",136000,138000,140000,7,0,80.54,80.54,37.531536,126.891967,12.53,2.78,35.87
영등포구,,당산동,양평한신,735,1215,10,199604,"24,33",135000,137500,140000,32,0,83.98,83.98,37.540232,126.892087,12.85,2.17,36.81
영등포구,,당산동,당산삼성2차,677,392,4,199709,"24,33",140000,140000,140000,1,0,89.05,89.05,37.528145,126.898409,11.88,2.75,35.64
영등포구,,당산동,영등포삼환,967,520,7,199905,24,143000,145000,150000,58,0,86.64,86.64,37.52962,126.904927,11.38,2.36,35.94
영등포구,,당산동,당산현대3차,691,509,6,198812,"24,33",155000,170000,170000,14,0,80.2,85.4,37.531423,126.896279,12.17,2.54,35.94
영등포구,,당산동,당산푸르지오,8348,538,9,200408,"24,33",163000,163000,169000,13,0,79.78,79.78,37.530298,126.90606,11.31,2.26,36.04
영등포구,,당산동,아크로타워스퀘어,109205,1221,7,201708,"24,33",183000,185000,200000,58,0,82,82.42,37.52383,126.907445,10.98,2.93,35.38
영등포구,,당산동,강변래미안,2982,801,13,200206,"24,33",167000,167000,169000,8,0,81.54,81.54,37.529785,126.908138,11.12,2.27,36.04
영등포구,,당산동,래미안당산1차,676,348,4,199505,"24,33",145000,145000,150000,13,0,80.55,80.55,37.534405,126.905864,11.48,1.83,36.48
영등포구,,당산동,래미안밤섬리베뉴I,104791,429,6,201410,"24,33",199000,199000,199000,11,0,84.69,84.69,37.547162,126.925379,10.55,1.08,38.32
영등포구,,당산동,경남아너스빌,11116,600,8,199811,"24,33",138000,146000,146000,6,0,83.99,83.99,37.524284,126.902753,11.4,2.98,35.32
영등포구,,당산동,당산효성1차,1209,480,6,199912,"24,33",163000,165000,170000,37,0,80.13,80.13,37.530729,126.902037,11.66,2.34,36.0
영등포구,,당산동,현대,688,783,7,199406,33,153000,157000,165000,9,0,101.67,101.67,37.523352,126.894565,12.07,3.38,35.04
영등포구,,당산동,성원,731,372,2,199307,33,135000,140000,140000,14,0,104,104,37.534337,126.893792,12.48,2.44,36.21
영등포구,,당산동,동부센트레빌,2985,468,6,200306,33,175000,175000,175000,4,0,105.39,117.98,37.524464,126.900794,11.57,3.02,35.3
영등포구,,당산동,당산삼성래미안,2981,1391,25,200312,33,210000,215000,235000,22,0,109.99,109.99,37.532316,126.90319,11.62,2.14,36.19
영등포구,,당산동,현대2차,737,312,3,199008,33,150000,160000,170000,11,0,98.24,98.24,37.532258,126.895973,12.22,2.49,36.03
영등포구,,당산동1가,현대2차,711,390,2,198710,18,82000,82000,82000,1,0,59.49,59.49,37.520529,126.882797,13.02,4.23,34.49
영등포구,,당산동1가,문래삼환,3449,382,5,200109,"21,33",102000,102000,102000,1,0,74.43,74.43,37.513694,126.8899,12.27,4.52,33.9
영등포구,,당산동1가,문래두산위브,703,383,3,198811,"24,33",122000,122000,122000,6,0,88.24,88.24,37.517216,126.885968,12.68,4.36,34.2
영등포구,,당산동1가,삼성래미안,729,388,5,199807,"24,33",125000,125000,125000,3,0,76.5,76.5,37.524753,126.882632,13.13,3.89,34.95
영등포구,,당산동1가,신도림동아3차,3210,813,9,200011,"24,33",146000,148000,155000,20,0,81.63,81.63,37.509883,126.884234,12.72,5.13,33.37
영등포구,,당산동1가,신도림동아2차,3209,655,5,200005,"24,33",135000,143000,143000,17,0,85.86,85.86,37.509096,126.885829,12.57,5.14,33.31
영등포구,,당산동1가,문래공원한신,700,367,2,198807,"24,33",127000,132000,137000,8,0,80.24,80.24,37.517623,126.892851,12.09,4.01,34.38
