단지번호,단지명,시구,동,원인,최소면적_㎡,최대면적_㎡,준공년월,위도,경도
1463,공작부영,안양시 동안구,관양동,c_name_var,68.1,68.1,199303.0,37.39769,126.95897
2505,인덕원마을삼성,안양시 동안구,관양동,c_name_var,79.41,79.52,199812.0,37.398436,126.979347
1465,한가람삼성,안양시 동안구,관양동,c_name_var,83.77,83.77,199501.0,37.400142,126.955888
1461,한가람두산,안양시 동안구,관양동,c_name_var,76.96,76.96,199211.0,37.39873,126.956258
1454,"샛별한양2,3단지",안양시 동안구,관양동,c_name_var,78.73,78.73,199304.0,37.397637,126.951003
147880,안양역푸르지오더샵,안양시 동안구,비산동,c_name_var,59.84,59.84,202410.0,37.398648,126.927326
1992,"은하수,샛별5,6단지",안양시 동안구,비산동,c_name_var,58.6,58.6,199211.0,37.394087,126.949525
147085,안양어반포레자연앤e편한세상,안양시 동안구,비산동,c_name_var,68.26,68.26,202501.0,37.391393,126.922794
3079,비산삼성래미안,안양시 동안구,비산동,c_name_var,79.45,81.26,200312.0,37.400838,126.937999
2015,안양대우,안양시 동안구,비산동,c_name_var,88.25,88.25,199109.0,37.406269,126.92273
175697,아크로베스티뉴,안양시 동안구,비산동,c_name_var,86.77,86.77,202503.0,37.387479,126.948329
1481,향촌현대4차,안양시 동안구,비산동,c_name_var,78.67,78.67,199211.0,37.386483,126.960097
8800,호계효성,안양시 동안구,비산동,c_name_var,108.11,108.11,200010.0,37.385719,126.947178
26320,비산e-편한세상,안양시 동안구,비산동,c_name_var,105.99,106.26,200810.0,37.399959,126.942484
8775,초원8단지세경,안양시 동안구,평촌동,c_name_var,64.05,64.05,199607.0,37.390665,126.963292
152617,인덕원자이SK뷰,안양시 동안구,평촌동,c_name_var,57.12,57.12,202505.0,37.384259,126.980618
1482,향촌현대5차,안양시 동안구,평촌동,c_name_var,75.89,75.89,199304.0,37.387274,126.961938
103281,e편한세상인덕원더퍼스트,안양시 동안구,평촌동,c_name_var,84.23,84.76,201210.0,37.387806,126.978599
19492,"무궁화효성,한양",안양시 동안구,평촌동,c_name_var,78.76,79.36,199212.0,37.382459,126.954428
1483,초원2단지대림,안양시 동안구,평촌동,c_name_var,81.52,81.52,199311.0,37.388325,126.964657
1477,초원3단지대원,안양시 동안구,평촌동,c_name_var,76.65,76.65,199307.0,37.388721,126.96674
26414,두산위브인덕원센트럴2단지,안양시 동안구,평촌동,c_name_var,106.08,106.08,200910.0,37.391511,126.979791
1441,샘대우한양,안양시 동안구,평촌동,c_name_var,109.0,109.0,199311.0,37.375983,126.964928
3883,반도보라빌리지2단지,안양시 동안구,평촌동,c_name_var,114.21,114.21,200206.0,37.375617,126.972656
24900,두산위브인덕원센트럴1단지,안양시 동안구,평촌동,c_name_var,110.35,110.35,200907.0,37.390778,126.978367
101552,반도보라빌리지1단지,안양시 동안구,평촌동,c_name_var,114.48,114.48,200206.0,37.37709,126.976249
142558,평촌트리지아,안양시 동안구,호계동,c_name_var,83.9,85.74,202408.0,37.381319,126.949922
10509,호계신성미소지움,안양시 동안구,호계동,c_name_var,80.29,80.29,200412.0,37.38342,126.94948
8328,해모로,안양시 동안구,호계동,c_name_var,81.56,81.56,200408.0,37.364499,126.966542
101284,한신휴플러스타운3차,안양시 만안구,박달동,c_name_var,79.11,79.33,200912.0,37.404803,126.90643
11512,박달한일유앤아이,안양시 만안구,박달동,c_name_var,81.24,81.24,200502.0,37.402933,126.898099
25775,석수아이파크,안양시 만안구,박달동,c_name_var,86.04,86.04,200909.0,37.406714,126.90255
2800,냉천현대,안양시 만안구,안양동,c_name_var,84.31,84.31,199706.0,37.393458,126.919074
8018,동부삼환,오산시,가수동,c_name_var,77.25,77.38,199611.0,37.133468,127.07076
8003,우방힐타운,오산시,가수동,c_name_var,77.64,77.64,199908.0,37.133915,127.067986
8019,"원동두산,동아",오산시,가수동,c_name_var,110.44,110.44,199907.0,37.134332,127.070569
8024,원동청구,오산시,가수동,c_name_var,108.2,108.2,199609.0,37.135302,127.07139
108033,오산세교e편한세상,오산시,가장동,c_name_var,85.12,85.12,201803.0,37.168305,127.027865
8022,오산운암주공5단지,오산시,갈곶동,c_name_var,64.15,64.15,199904.0,37.145337,127.075579
26096,오산고현아이파크,오산시,갈곶동,c_name_var,111.42,113.77,200901.0,37.134438,127.080776
17454,오산원동푸르지오,오산시,갈곶동,c_name_var,106.67,107.36,200509.0,37.137425,127.082485
8011,오산대우,오산시,궐동,c_name_var,74.57,74.57,199310.0,37.163494,127.06286
8017,오산운암주공4단지,오산시,궐동,c_name_var,102.63,102.63,200011.0,37.1507,127.0754
8014,운암현대,오산시,궐동,c_name_var,104.02,104.02,200004.0,37.152953,127.0757
8007,오산운암주공1단지,오산시,부산동,c_name_var,61.6,62.0,200003.0,37.157619,127.080203
8008,오산운암주공3단지,오산시,부산동,c_name_var,63.49,63.49,200005.0,37.154419,127.078846
193277,엔에이치에프엘크루,오산시,부산동,c_name_var,69.14,69.14,201906.0,37.162452,127.094269
112414,동탄호수자이파밀리에,오산시,부산동,c_name_var,68.74,69.56,201803.0,37.159913,127.106763
127086,동탄호수하우스디,오산시,부산동,c_name_var,99.57,112.9,202110.0,37.162297,127.096828
114664,금호어울림레이크2차,오산시,부산동,c_name_var,99.03,112.21,201903.0,37.162226,127.10171
8016,오산운암주공2단지,오산시,부산동,c_name_var,102.61,102.79,200011.0,37.155027,127.075945
119469,동탄레이크자연앤푸르지오,오산시,부산동,c_name_var,107.57,110.18,202002.0,37.165038,127.103024
127192,한화포레나동탄호수,오산시,부산동,c_name_var,100.01,113.04,202009.0,37.163917,127.0986
27337,병점역한일타운,오산시,세교동,c_name_var,71.13,71.13,200108.0,37.19944,127.03901
26219,동탄푸른마을모아미래도,오산시,세교동,c_name_var,78.44,80.54,200801.0,37.20084,127.057769
11173,병점임광그대가,오산시,세교동,c_name_var,79.78,79.78,200705.0,37.201591,127.042383
26218,동탄푸른마을신일해피트리,오산시,세교동,c_name_var,77.61,81.95,200806.0,37.200182,127.054375
9810,병점역센트럴허브시티,오산시,세교동,c_name_var,85.26,85.26,200406.0,37.203925,127.040157
12482,병점성호,오산시,세교동,c_name_var,78.0,78.0,200108.0,37.200438,127.042409
141520,서동탄역양우내안애,오산시,세교동,c_name_var,78.49,78.49,202306.0,37.202228,127.052487
124735,병점역아이파크캐슬,오산시,세교동,c_name_var,79.91,79.91,202103.0,37.203264,127.027494
11320,병점역성호플레르빌,오산시,세교동,b_no_trade,81.5,81.5,200202.0,37.20035,127.025006
23766,동탄푸른마을두산위브,오산시,세교동,c_name_var,99.76,112.31,200712.0,37.203354,127.054347
112392,서동탄역파크자이,오산시,세교동,c_name_var,100.63,110.33,201801.0,37.202436,127.049956
11194,서동탄역우남퍼스트빌,오산시,세교동,c_name_var,103.33,104.64,200210.0,37.19859,127.04963
23768,푸른마을포스코더샵2차,오산시,세교동,c_name_var,99.62,111.78,200805.0,37.203129,127.057797
11195,병점역우남퍼스트빌3차,오산시,세교동,c_name_var,109.63,109.63,200108.0,37.198882,127.04173
114567,서동탄역파크자이2차,오산시,세교동,c_name_var,110.95,112.36,201809.0,37.202047,127.047446
110124,안녕우방아이유쉘,오산시,양산동,c_name_var,113.61,113.89,201710.0,37.203078,127.006768
23758,아름마을신한미지엔,오산시,양산동,c_name_var,113.1,113.2,200609.0,37.200851,127.007246
19208,동탄시범다은마을우남퍼스트빌,오산시,외삼미동,c_name_var,89.67,89.67,200703.0,37.199854,127.066342
22065,동탄시범다은마을월드메르디앙반도유보라,오산시,외삼미동,c_name_var,81.49,81.49,200705.0,37.202662,127.066003
8850,대창(대창그린),오산시,외삼미동,c_name_var,77.3,77.3,199709.0,37.206293,127.038887
19200,동탄시범다은마을포스코더샵,오산시,외삼미동,c_name_var,111.19,111.19,200701.0,37.199535,127.069376
19203,동탄시범다은마을삼성래미안,오산시,외삼미동,c_name_var,108.17,118.08,200702.0,37.201114,127.068422
22090,동탄솔빛마을신도브래뉴,오산시,외삼미동,c_name_var,105.05,113.22,200709.0,37.196614,127.074886
127686,동탄센트럴포레스트,오산시,외삼미동,c_name_var,99.89,113.55,200908.0,37.196881,127.067417
23771,동탄시범다은마을센트럴파크뷰,오산시,외삼미동,c_name_var,106.24,111.11,200802.0,37.200398,127.063373
19206,동탄시범다은마을메타역롯데캐슬,오산시,외삼미동,c_name_var,109.76,111.52,200701.0,37.200812,127.070012
9074,남수원두산,오산시,외삼미동,c_name_var,108.55,108.55,200004.0,37.20483,127.04263
19672,동탄솔빛마을쌍용예가,오산시,외삼미동,c_name_var,113.8,115.5,200709.0,37.194973,127.07253
19358,동탄시범한빛마을금호어울림,오산시,외삼미동,c_name_var,109.45,109.72,200702.0,37.205841,127.066832
118008,동탄파크한양수자인,용인시 기흥구,고매동,c_name_var,73.22,73.22,201907.0,37.216088,127.114154
